Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
05 Dec 2017;;;;;-24.1296;15.8947;31201
06 Dec 2017;;;;;-24.1296;15.8947;31201
07 Dec 2017;;;;;-24.1296;15.8947;31201
08 Dec 2017;;;;;-24.1296;15.8947;31201
09 Dec 2017;;;;;-24.1296;15.8947;31201
10 Dec 2017;;;;;-24.1296;15.8947;31201
11 Dec 2017;;;;;-24.1296;15.8947;31201
12 Dec 2017;;;;;-24.1296;15.8947;31201
13 Dec 2017;;;;;-24.1296;15.8947;31201
14 Dec 2017;;;;;-24.1296;15.8947;31201
15 Dec 2017;;;;;-24.1296;15.8947;31201
16 Dec 2017;;;;;-24.1296;15.8947;31201
17 Dec 2017;;;;;-24.1296;15.8947;31201
18 Dec 2017;;;;;-24.1296;15.8947;31201
19 Dec 2017;;;;;-24.1296;15.8947;31201
20 Dec 2017;;;;;-24.1296;15.8947;31201
21 Dec 2017;;;;;-24.1296;15.8947;31201
22 Dec 2017;;;;;-24.1296;15.8947;31201
23 Dec 2017;;;;;-24.1296;15.8947;31201
24 Dec 2017;;;;;-24.1296;15.8947;31201
25 Dec 2017;;;;;-24.1296;15.8947;31201
26 Dec 2017;;;;;-24.1296;15.8947;31201
27 Dec 2017;;;;;-24.1296;15.8947;31201
28 Dec 2017;;;;;-24.1296;15.8947;31201
29 Dec 2017;;;;;-24.1296;15.8947;31201
30 Dec 2017;;;;;-24.1296;15.8947;31201
31 Dec 2017;;;;;-24.1296;15.8947;31201
01 Jan 2018;;;;;-24.1296;15.8947;31201
02 Jan 2018;;;;;-24.1296;15.8947;31201
03 Jan 2018;;;;;-24.1296;15.8947;31201
04 Jan 2018;;;;;-24.1296;15.8947;31201
